arm_id,state_index,year,dp_gap,tpr_gap,fpr_gap,equalized_odds_max_gap
D6_ARM_001,0,2022,0.0005280885631625209,0.0052442756146459865,0.0011383539781422017,0.0052442756146459865
D6_ARM_001,0,2023,0.001016352378684078,0.0004896742601660613,0.0012743910958310659,0.0012743910958310659
D6_ARM_001,0,2024,0.0005829991820541875,0.00029304592565330273,0.00033343049891302635,0.00033343049891302635
D6_ARM_001,1,2022,0.00046114519725008263,0.0015392529281418182,0.0008247123197884045,0.0015392529281418182
D6_ARM_001,1,2023,0.0010284627295556984,0.00037313850946292873,0.0013538760334353898,0.0013538760334353898
D6_ARM_001,1,2024,2.792824277835903e-05,0.001545896033607639,0.00035146038397781184,0.001545896033607639
D6_ARM_001,2,2022,0.00018243565304366287,0.0027698638809749918,0.0005701082291493485,0.0027698638809749918
D6_ARM_001,2,2023,0.0011056021373212583,0.0003821027979785535,0.0013980618431999933,0.0013980618431999933
D6_ARM_001,2,2024,0.00024010285104492882,0.003523483377048643,0.00031202850864758694,0.003523483377048643
D6_ARM_001,3,2022,0.00019541556078851415,2.6379656009285074e-05,0.00041328739997245015,0.00041328739997245015
D6_ARM_001,3,2023,0.0008059991113306955,0.001680804096679851,0.001159607030387021,0.001680804096679851
D6_ARM_001,3,2024,0.00030743385023695655,0.003523483377048643,0.0002395962328254806,0.003523483377048643
D6_ARM_001,4,2022,3.5569013473935995e-05,0.00496201329534663,0.0005239858926837466,0.00496201329534663
D6_ARM_001,4,2023,0.0009073592208394955,0.0004000313750098048,0.0011036548446758444,0.0011036548446758444
D6_ARM_001,4,2024,0.00018689373818475295,0.0017500828721273634,0.00012256514628505117,0.0017500828721273634
D6_ARM_001,5,2022,0.00031632238486853934,0.003038936372269707,0.0006808067218606454,0.003038936372269707
D6_ARM_001,5,2023,0.001032940032091536,0.0004000313750098048,0.0012390919679913454,0.0012390919679913454
D6_ARM_001,5,2024,0.00013992596037369458,0.0017500828721273634,6.984880812805749e-05,0.0017500828721273634
D6_ARM_001,6,2022,0.00026235892670095195,0.0016671942597868538,0.0005369011239328859,0.0016671942597868538
D6_ARM_001,6,2023,0.0010957304377175563,0.0004000313750098048,0.0013068105296490957,0.0013068105296490957
D6_ARM_001,6,2024,0.00026440634806726556,0.00016196301697397712,5.999083929550094e-05,0.00016196301697397712
D6_ARM_001,7,2022,4.854892121878684e-05,0.00496201329534663,0.0005369011239328859,0.00496201329534663
D6_ARM_001,7,2023,0.0007817784095874546,0.0004627813946191852,0.0009004991597025935,0.0009004991597025935
D6_ARM_001,7,2024,0.00011921642570393272,0.0024092786532743642,0.00014744801933826157,0.0024092786532743642
D6_ARM_001,8,2022,3.5569013473935995e-05,0.005782420597235412,0.0005498163551820251,0.005782420597235412
D6_ARM_001,8,2023,0.0015837046805861803,0.002188406933877166,0.0016247502800663914,0.002188406933877166
D6_ARM_001,8,2024,0.00020725695956572273,0.0004972327641730237,5.999083929550094e-05,0.0004972327641730237
D6_ARM_001,9,2022,5.7334167928203925e-05,0.007154162709718265,0.0005369011239328859,0.007154162709718265
D6_ARM_001,9,2023,0.0014845832223452987,0.0008897056351758678,0.0016012175281732443,0.0016012175281732443
D6_ARM_001,9,2024,7.848998294199272e-05,0.0011564285453200245,0.00019030638866269914,0.0011564285453200245
