arm_id,state_index,year,threshold,max_d_phi,auroc,auprc,balanced_accuracy,f1,accuracy,count_predicted_positive,selection_rate,ks_statistic,ks_pvalue,score_mean,score_median,score_iqr,y0_mean,y0_median,y1_mean,y1_median
D6_ARM_001,0,2022,0.5,0.004774562999852669,0.7801078717488028,0.207953348038852,0.5091534194742121,0.039508809396689805,0.9344626593806922,104,0.0037887067395264117,0.428234210452112,4.354136088059636e-276,0.06447006756000118,0.04056709009989953,0.049910782556687815,0.0592201016985661,0.03877003794946575,0.14068508920359335,0.10192214198643071
D6_ARM_001,0,2023,0.5,0.0041983663102154135,0.7791293076210748,0.2007556144414719,0.5068501061487092,0.03137254901960784,0.9325067459097585,111,0.003791372066810124,0.4271233893158873,6.192450992986195e-299,0.06476239405150586,0.04161308732425826,0.04987805805979017,0.05973749431158139,0.03971544924559378,0.13600187465671817,0.09966328374754747
D6_ARM_001,0,2024,0.5,0.003925250716235319,0.7516813909908746,0.21530154489634734,0.5077757174128535,0.034905310063126624,0.9196599690880989,130,0.00401854714064915,0.3666162279168702,6.593620890955388e-285,0.06582709307143027,0.04198702275098458,0.05078693958007772,0.06019836602709908,0.039793050556556304,0.13124375029713944,0.08921998941338379
D6_ARM_001,1,2022,0.5,0.005448893719589671,0.7801485720054125,0.20643076571199376,0.5094360650366767,0.04055496264674493,0.9344990892531876,105,0.003825136612021858,0.4259153083790646,5.728186427943598e-273,0.06445744820673742,0.040721506478356984,0.049508581547318686,0.059278125102664246,0.03876689873903503,0.13964693189000665,0.10159340393025351
D6_ARM_001,1,2023,0.5,0.004627623812178123,0.7786888505678363,0.19982437253134153,0.5070910249349948,0.03232125367286973,0.9325067459097585,113,0.003859685077022919,0.4255928029514642,1.068905456697718e-296,0.06467909537715184,0.04162791786019178,0.04922770629449507,0.05972730926683835,0.03969312343459486,0.1348820225647379,0.09834929110361024
D6_ARM_001,1,2024,0.5,0.004028329908846679,0.7504314447114767,0.21326892760675864,0.5071568940622915,0.03268945022288262,0.9195054095826893,129,0.003987635239567233,0.3637941754777295,2.1180399097674553e-280,0.06562477290260023,0.042048235931923694,0.04988988944123314,0.06011732187820583,0.0397818882692922,0.12963196902575108,0.08843595473043867
D6_ARM_001,2,2022,0.5,0.0009306903539241258,0.7767610075428868,0.20326083073518814,0.5077986006023506,0.03431635388739947,0.9343897996357012,96,0.0034972677595628415,0.41921909260703943,4.475329769230452e-264,0.0644432962351452,0.04102306679547859,0.048545927434490106,0.05942348450660321,0.03906313558646076,0.1373171147770823,0.09894923960691991
D6_ARM_001,2,2023,0.5,0.0011224195432803904,0.7760912135831526,0.1973350997285357,0.5058864310035665,0.027559055118110236,0.9325067459097585,103,0.0035181200259589438,0.41912555664665163,2.3709740119467194e-287,0.06453214516896957,0.041653996208898966,0.048154501636617456,0.05973899170997866,0.03986764388466809,0.13248609063111766,0.09582748181261329
D6_ARM_001,2,2024,0.5,0.001679386083220937,0.7460896346371633,0.21025400353929605,0.5078764324899006,0.034983252698176405,0.9198454404945904,124,0.0038330757341576505,0.3559930991899686,3.787899660612813e-268,0.06538432636651152,0.0420721344338474,0.048821669617276936,0.060085684387082734,0.03996372311523403,0.12696475892259634,0.0864493118903398
D6_ARM_001,3,2022,0.5,0.0008486973148691305,0.7764205693769993,0.2020400295809299,0.5083638917272799,0.03642206748794858,0.9344626593806922,98,0.003570127504553734,0.42250476334979975,2.03456103821991e-268,0.06452455681347846,0.04096128509825407,0.04878595784617179,0.05951684708135801,0.039047366475613535,0.1372226877521926,0.09997209385056308
D6_ARM_001,3,2023,0.5,0.0009635047466979556,0.7765447690967021,0.19660269679037684,0.5056820779624908,0.026627218934911243,0.9325750589199713,99,0.003381494005533354,0.4245686777485328,3.314242258029209e-295,0.06461686169205393,0.041682624521979676,0.04871230654509663,0.059829766920786225,0.039904945681128554,0.13248491135749157,0.09583599358156637
D6_ARM_001,3,2024,0.5,0.0008810796257054258,0.7467104424244755,0.2106404268902219,0.507893218336075,0.034996276991809384,0.9198763523956723,123,0.003802163833075734,0.35850330034099165,4.6636914414757697e-272,0.06549087656644532,0.04211401729852321,0.04901027493782447,0.06016418082437682,0.04001833873691985,0.12739734791603355,0.08741484139736413
D6_ARM_001,4,2022,0.5,0.0008662568585321927,0.7736446203714932,0.19721853417154353,0.5062880245559243,0.028954423592493297,0.9340255009107468,96,0.0034972677595628415,0.4172479587082359,1.7235582170621749e-261,0.0645367345392472,0.041858722769015866,0.04846409880559109,0.059811487853209715,0.040093400362910876,0.13313428125723953,0.09854861877759223
D6_ARM_001,4,2023,0.5,0.001106984351510036,0.7733426599678374,0.1913872925008136,0.5032944144146603,0.017804154302670624,0.9321651808586945,93,0.003176554974894969,0.4174767429349635,5.373633200806554e-285,0.06451640446514603,0.042627868500260784,0.04755093594547809,0.06001581220863528,0.04073806087598028,0.12832262376584908,0.09526369891455028
D6_ARM_001,4,2024,0.5,0.0010036075968899918,0.7459230008938087,0.20980409468717584,0.5064164764783795,0.029180695847362513,0.9197836166924266,110,0.0034003091190108192,0.3595742936508726,9.798596305212609e-274,0.06561627399476867,0.043086176161239276,0.04875791765900042,0.06044678474081419,0.0410303148101849,0.12569570294816027,0.08560042263900608
D6_ARM_001,5,2022,0.5,0.0009184172696013534,0.7737512026551624,0.19810013261235127,0.5057227334309948,0.026838432635534086,0.9339526411657559,94,0.003424408014571949,0.41570247157095885,1.7927525051513579e-259,0.06453527433100029,0.04189087640235696,0.04817421901673874,0.05979827210221681,0.04008889656031362,0.1333034791005814,0.09847825422677074
D6_ARM_001,5,2023,0.5,0.0009556801992408892,0.7726513607651108,0.1919118299599205,0.5033309801598702,0.01782178217821782,0.9322334938689073,91,0.003108241964682174,0.4180335317551035,8.632409794227094e-286,0.0645001910439571,0.042602458240273436,0.04760517049669753,0.05999370830688195,0.040768017062561904,0.12838992141903802,0.09522748236074981
D6_ARM_001,5,2024,0.5,0.0010775203723938154,0.7447871564529016,0.20921044819270135,0.5064668340169031,0.029213483146067417,0.9198763523956723,107,0.0033075734157650694,0.35578430762693963,7.983485929480871e-268,0.06560116204781602,0.043212569067152755,0.048684646691173214,0.06045865691122485,0.041008373598935666,0.12536698354748085,0.08531153717668997
D6_ARM_001,6,2022,0.5,0.0008888403656620732,0.7740018647277114,0.19786548766635426,0.5059664396998184,0.027867095391211148,0.9339162112932605,97,0.003533697632058288,0.4137796761056409,5.6313249065339334e-257,0.06450105141738226,0.041999508126814265,0.048095042936305,0.059785100974969266,0.040152491268605095,0.13296364232275698,0.09848631324078473
D6_ARM_001,6,2023,0.5,0.0007961703454050637,0.7725108887822815,0.19167574185984543,0.5033492630324752,0.017830609212481426,0.9322676503740137,90,0.003074085459575776,0.4188014124045111,6.899940476014098e-287,0.06445132436193164,0.042654204292549444,0.04756373200067117,0.059966007936847004,0.04092396982858371,0.12804097371040996,0.0947307378901059
