year,arm_id,model,feature,intercept,beta_j,mean_scaled_X_j_Y0,mean_scaled_X_j_Y1,mean_beta_scaled_X_j_Y0,mean_beta_scaled_X_j_Y1,class_separation_contribution,baseline_present,fairbias_present,comparison_type,absence_equivalent_zero_contribution,interpretation_status
2022,D6_ARM_001,baseline,agep_a,-2.480813540430048,-1.4574467298955243,0.5289682191433704,0.41662799625389163,-0.7709430012091643,-0.6072131107231591,0.16372989048600523,True,False,representation_reparameterized,False,descriptive decomposition of the fitted terminal linear scoring function
2022,D6_ARM_001,baseline,educp_a,-2.480813540430048,-0.07351618910681766,0.6330679561472755,0.5647258338044093,-0.046540743581589654,-0.04151649119147024,0.005024252390119419,True,True,shared_feature_same_name,False,descriptive decomposition of the fitted terminal linear scoring function
2022,D6_ARM_001,baseline,region,-2.480813540430048,0.2678975286718267,0.5629972872292097,0.6073110985490862,0.15082558189764786,0.16269714243627237,0.011871560538624516,True,True,shared_feature_same_name,False,descriptive decomposition of the fitted terminal linear scoring function
2022,D6_ARM_001,baseline,pcnt18uptc,-2.480813540430048,-0.24726627751652416,0.3942214088236439,0.38778971170152626,-0.09747766027714226,-0.09588731847164249,0.001590341805499776,True,True,representation_reparameterized,False,descriptive decomposition of the fitted terminal linear scoring function
2022,D6_ARM_001,baseline,pcntlt18tc,-2.480813540430048,0.021267404638790274,0.15208390119803225,0.19483700772564536,0.003234429865824353,0.004143677481912407,0.0009092476160880537,True,True,representation_reparameterized,False,descriptive decomposition of the fitted terminal linear scoring function
2022,D6_ARM_001,baseline,ratcat_a,-2.480813540430048,-0.7852227676052573,0.6896268717070089,0.5334174022698613,-0.5415107208167332,-0.4188514888991474,0.12265923191758585,True,True,shared_feature_same_name,False,descriptive decomposition of the fitted terminal linear scoring function
2022,D6_ARM_001,baseline,empwrklsw1_a,-2.480813540430048,-0.4702681738290486,0.7794218812870735,0.7448652722818918,-0.3665373047552736,-0.35028643134468235,0.01625087341059123,True,True,representation_reparameterized,False,descriptive decomposition of the fitted terminal linear scoring function
2022,D6_ARM_001,baseline,empwrkft1_a,-2.480813540430048,0.6136638223718801,0.544059810755033,0.5886093838326738,0.33386982306685525,0.36120828436671576,0.027338461299860485,True,True,representation_reparameterized,False,descriptive decomposition of the fitted terminal linear scoring function
2022,D6_ARM_001,baseline,notcov_a,-2.480813540430048,-3.212170391336212,0.9774152096880963,0.8963632937629545,-3.1396241966017775,-2.8792716321059655,0.2603525644958122,True,True,representation_reparameterized,False,descriptive decomposition of the fitted terminal linear scoring function
2022,D6_ARM_001,baseline,phstat_a,-2.480813540430048,2.155261281836782,0.5679360876393702,0.6439608064820048,1.2240506602469958,1.3879037932310534,0.16385313298405763,True,True,shared_feature_same_name,False,descriptive decomposition of the fitted terminal linear scoring function
