record_type,year,arm_id,feature,transform_family,transform_type,original_cardinality,terminal_cardinality,cardinality_reduction,nmi_y_before,nmi_y_after,delta_nmi_y,nmi_a_before,nmi_a_after,delta_nmi_a,post_state,category,state,n,outcome_positive_count,outcome_prevalence
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,67.0,before,555.0,17.0,0.03063063063063063
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,68.0,before,552.0,24.0,0.043478260869565216
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,69.0,before,505.0,16.0,0.031683168316831684
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,70.0,before,485.0,17.0,0.03505154639175258
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,71.0,before,483.0,14.0,0.028985507246376812
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,72.0,before,483.0,9.0,0.018633540372670808
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,73.0,before,438.0,11.0,0.02511415525114155
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,74.0,before,443.0,13.0,0.029345372460496615
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,75.0,before,431.0,6.0,0.013921113689095127
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,76.0,before,302.0,6.0,0.019867549668874173
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,77.0,before,321.0,8.0,0.024922118380062305
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,78.0,before,294.0,4.0,0.013605442176870748
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,79.0,before,299.0,7.0,0.023411371237458192
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,80.0,before,265.0,4.0,0.01509433962264151
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,81.0,before,215.0,4.0,0.018604651162790697
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,82.0,before,231.0,2.0,0.008658008658008658
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,83.0,before,195.0,3.0,0.015384615384615385
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,84.0,before,186.0,2.0,0.010752688172043012
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,85.0,before,987.0,8.0,0.008105369807497468
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,dropped_constant_equivalent,after,27450.0,1769.0,0.06444444444444444
feature_summary,2022,D6_ARM_001,asev_a,Family_I,categorical_merge,3.0,2.0,1.0,0.0032670393763732613,0.0005120476190559055,-0.002754991757317356,0.001749362677907545,0.0001394347013580406,-0.0016099279765495044,merged_categories,,,,,
category_state,2022,D6_ARM_001,asev_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,-1,before,26.0,0.0,0.0
category_state,2022,D6_ARM_001,asev_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,1,before,3869.0,360.0,0.09304729904368053
category_state,2022,D6_ARM_001,asev_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,2,before,23555.0,1409.0,0.05981744852472936
category_state,2022,D6_ARM_001,asev_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,-1,after,26.0,0.0,0.0
category_state,2022,D6_ARM_001,asev_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,2,after,27424.0,1769.0,0.06450554259043174
feature_summary,2022,D6_ARM_001,diff_a,Family_I,categorical_merge,5.0,4.0,1.0,0.0023086631832634863,0.0018859897474356275,-0.00042267343582785876,0.004726729785088355,0.002044611763102557,-0.0026821180219857984,merged_categories,,,,,
category_state,2022,D6_ARM_001,diff_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,-1,before,4.0,0.0,0.0
category_state,2022,D6_ARM_001,diff_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,1,before,21427.0,1253.0,0.05847762169225743
category_state,2022,D6_ARM_001,diff_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,2,before,4295.0,354.0,0.08242142025611175
category_state,2022,D6_ARM_001,diff_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,3,before,1425.0,140.0,0.09824561403508772
category_state,2022,D6_ARM_001,diff_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,4,before,299.0,22.0,0.07357859531772576
category_state,2022,D6_ARM_001,diff_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,-1,after,4.0,0.0,0.0
category_state,2022,D6_ARM_001,diff_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,1,after,25722.0,1607.0,0.06247570173392427
category_state,2022,D6_ARM_001,diff_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,3,after,1425.0,140.0,0.09824561403508772
category_state,2022,D6_ARM_001,diff_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,4,after,299.0,22.0,0.07357859531772576
feature_summary,2022,D6_ARM_001,empwrkft1_a,Family_I,categorical_merge,4.0,2.0,2.0,0.0015659336927757606,0.0002600326547852888,-0.0013059010379904718,0.012997091706889015,9.750703210849583e-05,-0.012899584674780518,merged_categories,,,,,
category_state,2022,D6_ARM_001,empwrkft1_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,-2,before,1019.0,79.0,0.0775269872423945
category_state,2022,D6_ARM_001,empwrkft1_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,-1,before,11098.0,569.0,0.05127049918904307
category_state,2022,D6_ARM_001,empwrkft1_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,1,before,12377.0,888.0,0.07174598044760443
category_state,2022,D6_ARM_001,empwrkft1_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,2,before,2956.0,233.0,0.07882273342354533
category_state,2022,D6_ARM_001,empwrkft1_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,-2,after,1019.0,79.0,0.0775269872423945
category_state,2022,D6_ARM_001,empwrkft1_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,1,after,26431.0,1690.0,0.06394007037191177
feature_summary,2022,D6_ARM_001,empwrklsw1_a,Family_I,categorical_merge,3.0,2.0,1.0,0.0019153419763390514,0.0002420528714004773,-0.001673289104938574,0.007947650715025073,8.803760181462572e-05,-0.007859613113210448,merged_categories,,,,,
category_state,2022,D6_ARM_001,empwrklsw1_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,-1,before,998.0,77.0,0.07715430861723446
category_state,2022,D6_ARM_001,empwrklsw1_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,1,before,15354.0,1123.0,0.07314054969389085
category_state,2022,D6_ARM_001,empwrklsw1_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,2,before,11098.0,569.0,0.05127049918904307
category_state,2022,D6_ARM_001,empwrklsw1_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,-1,after,998.0,77.0,0.07715430861723446
category_state,2022,D6_ARM_001,empwrklsw1_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,1,after,26452.0,1692.0,0.0639649175865719
feature_summary,2022,D6_ARM_001,hearingdf_a,Family_I,categorical_merge,5.0,4.0,1.0,0.0010139006771215072,0.001830850088802904,0.0008169494116813968,0.0033951909567151266,0.001136820566198081,-0.0022583703905170458,merged_categories,,,,,
category_state,2022,D6_ARM_001,hearingdf_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,-1,before,8.0,0.0,0.0
category_state,2022,D6_ARM_001,hearingdf_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,1,before,22596.0,1405.0,0.06217914675163746
category_state,2022,D6_ARM_001,hearingdf_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,2,before,4367.0,310.0,0.07098694756125487
category_state,2022,D6_ARM_001,hearingdf_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,3,before,454.0,51.0,0.11233480176211454
category_state,2022,D6_ARM_001,hearingdf_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,4,before,25.0,3.0,0.12
category_state,2022,D6_ARM_001,hearingdf_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,-1,after,8.0,0.0,0.0
category_state,2022,D6_ARM_001,hearingdf_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,2,after,26963.0,1715.0,0.06360568186032711
category_state,2022,D6_ARM_001,hearingdf_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,3,after,454.0,51.0,0.11233480176211454
category_state,2022,D6_ARM_001,hearingdf_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,4,after,25.0,3.0,0.12
feature_summary,2022,D6_ARM_001,notcov_a,Family_I,categorical_merge,3.0,2.0,1.0,0.06340410500032882,0.00012073276136312543,-0.0632833722389657,0.003152749995214862,9.326327711993375e-05,-0.0030594867180949283,merged_categories,,,,,
category_state,2022,D6_ARM_001,notcov_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,-1,before,75.0,3.0,0.04
category_state,2022,D6_ARM_001,notcov_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,1,before,2065.0,541.0,0.2619854721549637
category_state,2022,D6_ARM_001,notcov_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,2,before,25310.0,1225.0,0.04839984195969972
category_state,2022,D6_ARM_001,notcov_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,-1,after,75.0,3.0,0.04
category_state,2022,D6_ARM_001,notcov_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,1,after,27375.0,1766.0,0.06451141552511415
feature_summary,2022,D6_ARM_001,usualpl_a,Family_I,categorical_merge,4.0,3.0,1.0,0.016936937703316925,0.0012259848859143088,-0.015710952817402615,0.00854578889416374,0.0003429290546870181,-0.008202859839476722,merged_categories,,,,,
category_state,2022,D6_ARM_001,usualpl_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,-1,before,16.0,1.0,0.0625
category_state,2022,D6_ARM_001,usualpl_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,1,before,24381.0,1326.0,0.05438661252614741
category_state,2022,D6_ARM_001,usualpl_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,2,before,2518.0,387.0,0.15369340746624305
category_state,2022,D6_ARM_001,usualpl_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,3,before,535.0,55.0,0.102803738317757
category_state,2022,D6_ARM_001,usualpl_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,-1,after,16.0,1.0,0.0625
category_state,2022,D6_ARM_001,usualpl_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,2,after,26899.0,1713.0,0.06368266478307744
category_state,2022,D6_ARM_001,usualpl_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,3,after,535.0,55.0,0.102803738317757
feature_summary,2022,D6_ARM_002,asev_a,Family_I,categorical_merge,3.0,2.0,1.0,0.0033082869576461747,0.000512071289794447,-0.002796215667851728,0.002357720617646375,0.0002825846488228708,-0.002075135968823504,merged_categories,,,,,
category_state,2022,D6_ARM_002,asev_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,-1,before,26.0,0.0,0.0
category_state,2022,D6_ARM_002,asev_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,1,before,3870.0,361.0,0.09328165374677003
category_state,2022,D6_ARM_002,asev_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,2,before,23557.0,1409.0,0.059812369996179476
category_state,2022,D6_ARM_002,asev_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,-1,after,26.0,0.0,0.0
category_state,2022,D6_ARM_002,asev_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,2,after,27427.0,1770.0,0.06453494731468991
feature_summary,2022,D6_ARM_002,empwrkft1_a,Family_I,categorical_merge,4.0,3.0,1.0,0.0015759431109562173,0.0007370430754711134,-0.000838900035485104,0.007779057517657865,0.002604456245567201,-0.005174601272090664,merged_categories,,,,,
category_state,2022,D6_ARM_002,empwrkft1_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,-2,before,1019.0,79.0,0.0775269872423945
category_state,2022,D6_ARM_002,empwrkft1_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,-1,before,11098.0,569.0,0.05127049918904307
category_state,2022,D6_ARM_002,empwrkft1_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,1,before,12379.0,888.0,0.071734388884401
category_state,2022,D6_ARM_002,empwrkft1_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,2,before,2957.0,234.0,0.07913425769360839
