year,arm_id,model,auroc,auprc,ks_statistic,ks_pvalue,overall_n,overall_mean,overall_std,overall_median,overall_iqr,overall_p01,overall_p05,overall_p10,overall_p25,overall_p50,overall_p75,overall_p90,overall_p95,overall_p99,overall_fraction_ge_0_5,y0_n,y0_mean,y0_std,y0_median,y0_iqr,y0_p01,y0_p05,y0_p10,y0_p25,y0_p50,y0_p75,y0_p90,y0_p95,y0_p99,y0_fraction_ge_0_5,y1_n,y1_mean,y1_std,y1_median,y1_iqr,y1_p01,y1_p05,y1_p10,y1_p25,y1_p50,y1_p75,y1_p90,y1_p95,y1_p99,y1_fraction_ge_0_5
2022,D6_ARM_001,baseline,0.7801078717488028,0.207953348038852,0.428234210452112,4.354136088059636e-276,27450,0.06447006756000118,0.07352840491670087,0.04056709009989953,0.049910782556687815,0.00786218874871939,0.011751666881478448,0.015321876206495437,0.024203038851733034,0.04056709009989953,0.07411382140842085,0.13816396818260293,0.20146626306517043,0.3685155695464806,0.0037887067395264117,25681,0.0592201016985661,0.06602008318982917,0.03877003794946575,0.04499957124516884,0.007761721990279847,0.011512315901406596,0.014956618974254425,0.02348800514702481,0.03877003794946575,0.06848757639219365,0.12240279841795418,0.17863579414635591,0.3286571048842233,0.0026089326739612943,1769,0.14068508920359335,0.12006635346080843,0.10192214198643071,0.1312300845886762,0.01501470065905458,0.026252573316265963,0.033470111245557765,0.0545439551980885,0.10192214198643071,0.18577403978676468,0.3033354834502443,0.37928497033646014,0.5614725991594278,0.020915771622385528
2022,D6_ARM_001,fairbias,0.7052838948556306,0.1350925028844109,0.3049604631896115,4.2590784984816864e-137,27450,0.06444476796823714,0.04670718420798017,0.04991566594735147,0.04641736849378992,0.015479891232074133,0.021277080530328243,0.025017402261981216,0.033270686181120536,0.04991566594735147,0.07968805467491046,0.12279017333513674,0.1569668529179977,0.23932195140679355,3.6429872495446266e-05,25681,0.062246871927319446,0.044720251047027995,0.04840792360056678,0.044051076632932964,0.015289226854532911,0.021161549552934582,0.024603916163621304,0.03264806484350531,0.04840792360056678,0.07669914147643828,0.11741007523825543,0.15077994469851344,0.229989328098144,3.893929364121335e-05,1769,0.09635215532086977,0.06109470416763427,0.08070044049454911,0.07245238081827785,0.02212922979441247,0.03057729285529622,0.03712672301638363,0.05217890965893802,0.08070044049454911,0.12463129047721586,0.1761269123203028,0.2113136912580069,0.3111410883119028,0.0
2022,D6_ARM_002,baseline,0.7803173019326684,0.20789547183681983,0.4269955658857637,1.386825214295147e-274,27453,0.06447450229688127,0.07332792202949986,0.04070001380816865,0.049863732954239307,0.00794269089697326,0.011887126157015817,0.015468649401350749,0.024317312146579038,0.04070001380816865,0.07418104510081834,0.13800987267423415,0.20065646659335248,0.3700245924984904,0.0038611445015116746,25683,0.059236273177479835,0.06585544948954163,0.038831358585327796,0.0448620451916248,0.007841409879963486,0.01164048079088681,0.015064002305134392,0.023565211731977107,0.038831358585327796,0.06842725692360191,0.12257579791473895,0.17818596389109204,0.32790530990890393,0.002647665771132656,1770,0.14048209465484016,0.11958423881513244,0.10252035555335272,0.13138747060540032,0.015298515360447932,0.026310864150126827,0.033820433468033415,0.05465814295348464,0.10252035555335272,0.18604561355888496,0.3021320993252432,0.3802831904420307,0.5563292202082214,0.021468926553672316
2022,D6_ARM_002,fairbias,0.7600561254108381,0.17345309712261725,0.39195768222335287,9.9086515951836e-230,27453,0.06447550803552196,0.06051644098303117,0.04695450302367191,0.052606273087610046,0.0013654276313892436,0.004800242321433665,0.01235796131539717,0.028460882896409988,0.04695450302367191,0.08106715598402003,0.13384074645786376,0.1801957380850237,0.2977075261200858,0.000910647288092376,25683,0.060714192173481424,0.056438269338133264,0.04480977355700654,0.04838280005804663,0.0013366590585521866,0.004381011994843206,0.011404584976185008,0.027790484430283816,0.04480977355700654,0.07617328448833044,0.1250543960876462,0.16742860401777127,0.27581735504885097,0.0007008527041233501,1770,0.11905283870489339,0.08604054592255363,0.09770006433797615,0.09118668268835345,0.011006248891697018,0.029520792678636453,0.03924189147786681,0.05888146586692397,0.09770006433797615,0.15006814855527742,0.23230757642688388,0.2977865047464907,0.43360617093568676,0.0039548022598870055
2022,D6_ARM_003,baseline,0.7803314107882083,0.2078725654670034,0.42792118950962227,7.850200618470734e-276,27451,0.0644987693119877,0.07339426921929908,0.04072464210257828,0.04993209662218975,0.00792488742591585,0.011862995331561078,0.015415461676135764,0.02430516769150351,0.04072464210257828,0.07423726431369326,0.1381194706661327,0.20105587931944666,0.37068001219275437,0.0038614258132672764,25681,0.059255073408607674,0.06591224548948268,0.038796583913121914,0.04485280039624106,0.007797024437901527,0.011591087013804045,0.015040660700063348,0.02356315451008329,0.038796583913121914,0.06841595490632435,0.12235332226408911,0.17856126599229452,0.32829254932678353,0.0026478719676025077,1770,0.14057976055193253,0.11970654622146937,0.10172504778676235,0.13207430502567477,0.01540628294713042,0.026289444846835566,0.03415992347080028,0.05444314570480737,0.10172504778676235,0.18651745073048215,0.3030719123366379,0.3766572987214199,0.5553368957987783,0.021468926553672316
2022,D6_ARM_003,fairbias,0.7709020958359816,0.19855360491724616,0.41950537417251255,1.3019974373879063e-264,27451,0.06450060376002331,0.06975381713640229,0.04203493487573619,0.047743032411779296,0.011457629375367939,0.015145992740696439,0.018378982331381747,0.026299802785810122,0.04203493487573619,0.07404283519758942,0.13321088516539875,0.19088321177210255,0.355591563232147,0.0030235692688790937,25681,0.059776146278748804,0.06324309581558801,0.04017113035520896,0.04315897029943811,0.011356364003231234,0.014972621875688423,0.018069947846463173,0.025603191462080184,0.04017113035520896,0.0687621617615183,0.11992431058825176,0.17088765571864073,0.31407358329561763,0.0024142362057552277,1770,0.1330479441987867,0.11141361648156616,0.09694556059122533,0.12414977653388432,0.016525986861006085,0.02684238424904859,0.0331159006599655,0.05466722785276695,0.09694556059122533,0.17881700438665127,0.2836024676324781,0.35947529159377006,0.5216804384672267,0.011864406779661017
2022,D6_ARM_004,baseline,0.766754390075364,0.19293349490712208,0.3989923302791288,2.2575857596900493e-238,27451,0.06450212965404274,0.06900020587959982,0.04266137466194316,0.049091956269484475,0.00890119327895323,0.013417825423357097,0.016944447050976096,0.026059961830351093,0.04266137466194316,0.07515191809983557,0.13260978490622163,0.19159766720341773,0.356399733917818,0.0028414265418381843,25681,0.059932097588420476,0.0630369206666792,0.04093424738327517,0.044876677227474786,0.008803105269685545,0.013185325927166513,0.0165908262394245,0.025293407537058908,0.04093424738327517,0.0701700847645337,0.12061923585540485,0.16866234278648476,0.3201162728542784,0.0024142362057552277,1770,0.13080890562988765,0.10719850266869968,0.09772201302193916,0.11593669223311207,0.01650490918444813,0.026387358189251246,0.03468487658312676,0.054392852138370834,0.09772201302193916,0.1703295443714829,0.2841741827271552,0.3580221872011504,0.48470879010357293,0.00903954802259887
2022,D6_ARM_004,fairbias,0.723732608490482,0.16764900365762941,0.3255612703185565,9.134089731518586e-157,27451,0.06455862627072394,0.05877973449603313,0.04708811285306951,0.03911119013286136,0.02238569276402745,0.02550410022358059,0.027626386778073282,0.03298647759144519,0.04708811285306951,0.07209766772430655,0.1130120010042342,0.17262648197561165,0.3125223943447959,0.002149284179082729,25681,0.061336701676855676,0.054904043255919695,0.04586601674116133,0.036704111475979545,0.02237041759030024,0.02530144089843885,0.027291327427868276,0.03256470454697069,0.04586601674116133,0.06926881602295024,0.10295751903715576,0.14881095279978876,0.28855715683767624,0.0021806004439079477,1770,0.11130565762390515,0.08669419667741593,0.07701431959742625,0.10080892218853142,0.025631625525792307,0.031138521871211154,0.03540202891382344,0.049097396463782736,0.07701431959742625,0.14990631865231416,0.24407897405424056,0.2962418752770187,0.37068023747060974,0.001694915254237288
2023,D6_ARM_001,baseline,0.7791293076210748,0.2007556144414719,0.4271233893158873,6.192450992986195e-299,29277,0.06476239405150586,0.07245008670523609,0.04161308732425826,0.04987805805979017,0.007925899383954797,0.012228200270095486,0.015800596825201064,0.02468207602054063,0.04161308732425826,0.0745601340803308,0.13701305584965826,0.1983352052540194,0.37123793115639087,0.003791372066810124,27348,0.05973749431158139,0.0657086515747297,0.03971544924559378,0.045154683302346676,0.007855667324868313,0.011966071842402894,0.015378797542229072,0.023838018297511684,0.03971544924559378,0.06899270159985836,0.12402484538706149,0.1763454532990892,0.3276480425711459,0.0028886938715811028,1929,0.13600187465671817,0.11413507089189356,0.09966328374754747,0.12003280652058754,0.016632943007630824,0.026269297606826784,0.035374579076361046,0.056933952402355825,0.09966328374754747,0.17696675892294336,0.28892719589518534,0.3801946860762386,0.5438186756725967,0.01658890616899948
2023,D6_ARM_001,fairbias,0.7050300381246706,0.14386587848089485,0.30546346826150184,9.864562221658165e-150,29277,0.06536107979401024,0.04692614925624314,0.051132277532412715,0.04611131093832156,0.015512873222951425,0.021525987560092674,0.02552540104925222,0.03413356139620215,0.051132277532412715,0.08024487233452371,0.12385019900162395,0.15869192866718979,0.24249812458281492,3.4156505106397514e-05,27348,0.06300860119292236,0.04454219757250704,0.04960709520882932,0.044000494872961836,0.01542519264846255,0.021269322644027786,0.025013913275129415,0.03345031425563446,0.04960709520882932,0.0774508091285963,0.11840056819391023,0.1513370525252208,0.23260499558106046,0.0,1929,0.09871286039668091,0.06406811551099005,0.08086737812099598,0.07261420191157897,0.021911317141051816,0.030453099787685595,0.03737818740412841,0.05392193984926908,0.08086737812099598,0.12653614176084804,0.1836851557412887,0.22752558509778345,0.3211592487908479,0.0005184033177812338
