year,arm_id,model,group,outcome_stratum,n,outcome_positive_count,mean,std,median,iqr,p10,p25,p50,p75,p90,fraction_ge_0_5
2022,D6_ARM_002,fairbias,2,all,18150,1022,0.05777384518546082,0.058000862148913236,0.04080115941571952,0.045233680740109736,0.008853334797215782,0.025421418713398605,0.04080115941571952,0.07065509945350834,0.12110108521009161,0.0008815426997245179
2022,D6_ARM_002,fairbias,2,Y0,17128,0,0.05414680780491968,0.0531793968013153,0.03922030888706081,0.042096465190832114,0.008177393135707941,0.024402883873404137,0.03922030888706081,0.06649934906423625,0.11285775525080148,0.0005838393274170948
2022,D6_ARM_002,fairbias,2,Y1,1022,1022,0.11856043643194651,0.0918705559043113,0.09240493814798473,0.09510357822902478,0.03702718857619073,0.05388099207331147,0.09240493814798473,0.14898457030233625,0.2511989285381797,0.005870841487279843
2022,D6_ARM_002,fairbias,3,all,3054,210,0.07661063724693243,0.06322458139900049,0.05971556358562985,0.06096191426025806,0.02235331896649203,0.036552617174858346,0.05971556358562985,0.0975145314351164,0.15098301484413498,0.0006548788474132286
2022,D6_ARM_002,fairbias,3,Y0,2844,0,0.07386819799064206,0.06162033593393777,0.05805194311579788,0.058427355972288306,0.021692562601595352,0.035736484503719426,0.05805194311579788,0.09416384047600773,0.14378072311471837,0.0007032348804500703
2022,D6_ARM_002,fairbias,3,Y1,210,210,0.11375110031783617,0.07247430988537386,0.09815120184022628,0.07819303319186761,0.041868414419991874,0.06292265129142106,0.09815120184022628,0.14111568448328868,0.22294712688329724,0.0
2022,D6_ARM_002,fairbias,4,all,1651,69,0.05724860870668904,0.04392445694957834,0.0452089762499334,0.04091955857051412,0.021017124337064538,0.0304309582866521,0.0452089762499334,0.07135051685716622,0.10750963304745759,0.0
2022,D6_ARM_002,fairbias,4,Y0,1582,0,0.055803036333544054,0.042791139221459704,0.044266218855550064,0.0391850926475944,0.02063595726165907,0.030266451911368092,0.044266218855550064,0.06945154455896249,0.10306284175434413,0.0
2022,D6_ARM_002,fairbias,4,Y1,69,69,0.09039202166778146,0.05549233749906882,0.07954953739515316,0.08720104006926031,0.03320193369237821,0.044201123674494844,0.07954953739515316,0.13140216374375516,0.17065365661504575,0.0
2022,D6_ARM_002,fairbias,5,all,185,8,0.09542071946319823,0.08544098777226801,0.07510761154043116,0.08929923981303942,0.02085667929830784,0.039453471580496585,0.07510761154043116,0.128752711393536,0.17944554644505223,0.005405405405405406
2022,D6_ARM_002,fairbias,5,Y0,177,0,0.09397799387822534,0.0841857222845147,0.06875550349506794,0.08103595468141767,0.02296547679671999,0.039453471580496585,0.06875550349506794,0.12048942626191425,0.17845663825004945,0.005649717514124294
2022,D6_ARM_002,fairbias,5,Y1,8,8,0.12734102303072325,0.1117118158815038,0.11606529089967063,0.07180406236672451,0.015631543441149063,0.07129345446292959,0.11606529089967063,0.1430975168296541,0.23015028885359268,0.0
2022,D6_ARM_002,fairbias,6,all,184,25,0.10017697014133276,0.10043214589807684,0.06644502293045361,0.08027720505509146,0.02074887692553631,0.03788896368755375,0.06644502293045361,0.11816616874264521,0.22106597453932403,0.010869565217391304
2022,D6_ARM_002,fairbias,6,Y0,159,0,0.09286379444466965,0.09803667782259097,0.06054865614134596,0.06764489319186731,0.018215916158602862,0.036828228291631314,0.06054865614134596,0.10447312148349863,0.1955039783290176,0.012578616352201259
2022,D6_ARM_002,fairbias,6,Y1,25,25,0.14668876757210994,0.10501889861705281,0.11808599956042701,0.13322727946079166,0.043574728473580675,0.07483241990996481,0.11808599956042701,0.20805969937075647,0.2954458876585344,0.0
2022,D6_ARM_002,fairbias,7,all,314,21,0.07179695033150667,0.05786631405640141,0.05480857233152623,0.04877627250649945,0.02777660816012621,0.03787690779451153,0.05480857233152623,0.08665318030101098,0.13836956259246275,0.0
2022,D6_ARM_002,fairbias,7,Y0,293,0,0.0656111629402192,0.04825236007631673,0.05003905375147838,0.04631089000620449,0.02769594105769364,0.03676061189518985,0.05003905375147838,0.08307150190139434,0.11829616828758856,0.0
2022,D6_ARM_002,fairbias,7,Y1,21,21,0.15810341250518453,0.10014657138672488,0.13583405404142837,0.10601884448477626,0.06507571899395737,0.0809474779222439,0.13583405404142837,0.18696632240702016,0.2875897938686516,0.0
2022,D6_ARM_003,baseline,1,all,2846,314,0.11287033078694614,0.10783255141488403,0.07772595945918363,0.09568795235076732,0.027748805096537408,0.04477726336504828,0.07772595945918363,0.1404652157158156,0.23801709937727009,0.014757554462403373
2022,D6_ARM_003,baseline,1,Y0,2532,0,0.10105640218421007,0.09395059804209566,0.07285303212209668,0.08535406344492488,0.02656183382648547,0.04235767356252198,0.07285303212209668,0.12771173700744687,0.20505305136655497,0.007503949447077409
2022,D6_ARM_003,baseline,1,Y1,314,314,0.20813423913767154,0.15518554086283198,0.1583536096804479,0.1930984310466835,0.06090204729733902,0.08856556744009315,0.1583536096804479,0.28166399848677665,0.4375401711573987,0.0732484076433121
2022,D6_ARM_003,baseline,2,all,24605,1456,0.05890374943969622,0.06605534229512833,0.03816714552400437,0.044148518509713526,0.014837390947998661,0.023264303151621417,0.03816714552400437,0.06741282166133494,0.12209210367113123,0.002601097337939443
2022,D6_ARM_003,baseline,2,Y0,23149,0,0.054682911999483094,0.060352981042387385,0.036599851953250245,0.04029505648222628,0.014521714587662812,0.02262460753120912,0.036599851953250245,0.0629196640134354,0.10959587292241947,0.0021167221046265497
2022,D6_ARM_003,baseline,2,Y1,1456,1456,0.12601100624154649,0.10509141186149017,0.09376506572766544,0.11656429560727226,0.032054051358735576,0.050012159597547054,0.09376506572766544,0.1665764552048193,0.2671302830879211,0.010302197802197802
2022,D6_ARM_003,fairbias,1,all,2846,314,0.10286778258190724,0.09335106796776049,0.0749901737084277,0.0760700021469575,0.03020547572241332,0.04649800865599865,0.0749901737084277,0.12256801080295615,0.19994782556872331,0.008081517919887562
2022,D6_ARM_003,fairbias,1,Y0,2532,0,0.09341984351953306,0.0811998412595678,0.07042339890407293,0.07030344797701904,0.029225693702762724,0.04420291454113354,0.07042339890407293,0.11450636251815258,0.17781327926391002,0.005924170616113744
2022,D6_ARM_003,fairbias,1,Y1,314,314,0.1790530746390136,0.13909870965781437,0.13341712802025374,0.14712732954583668,0.053120646816099876,0.08117585318813804,0.13341712802025374,0.2283031827339747,0.39939806247463355,0.025477707006369428
2022,D6_ARM_003,fairbias,2,all,24605,1456,0.060062766290928354,0.06504442563935373,0.039408770455118286,0.042690269977409476,0.01790925303360352,0.025245959359993034,0.039408770455118286,0.06793622933740251,0.12258630500017574,0.002438528754318228
2022,D6_ARM_003,fairbias,2,Y0,23149,0,0.05609625334973823,0.05982400496280192,0.0379641927082832,0.0388808333199083,0.017648358783232922,0.02464814250458025,0.0379641927082832,0.06352897582448855,0.1100026426746328,0.0020303252840295476
2022,D6_ARM_003,fairbias,2,Y1,1456,1456,0.12312650810110042,0.1018543791766082,0.08824122014966373,0.11659062950180445,0.03142975503708344,0.05032486597460066,0.08824122014966373,0.1669154954764051,0.2600286951248133,0.008928571428571428
2022,D6_ARM_004,baseline,1,all,2846,314,0.08271104965502071,0.07838560451016607,0.060686007413330176,0.06588123384465702,0.02259029507096215,0.03622334382891091,0.060686007413330176,0.10210457767356794,0.15921663881427114,0.005270555165144062
2022,D6_ARM_004,baseline,1,Y0,2532,0,0.07490296551385843,0.06877488395829784,0.05645343929346681,0.05995726825419746,0.02156106064156144,0.033933538574469735,0.05645343929346681,0.0938908068286672,0.14362811616601964,0.004344391785150079
2022,D6_ARM_004,baseline,1,Y1,314,314,0.14567305298439293,0.11458804280315901,0.10541554519295565,0.11870093589568437,0.04583898425182787,0.0640227451759584,0.10541554519295565,0.18272368107164277,0.3198198717496188,0.012738853503184714
2022,D6_ARM_004,baseline,2,all,24605,1456,0.06239594853952198,0.0675165360241348,0.04109972008970238,0.04621735015585035,0.016591217991227987,0.02533914032235743,0.04109972008970238,0.07155649047820778,0.12792034364755905,0.0025604551920341396
2022,D6_ARM_004,baseline,2,Y0,23149,0,0.058294608384255764,0.06216052333715442,0.039657561246689184,0.04271775252891784,0.016277788244256526,0.024684551012099237,0.039657561246689184,0.06740230354101708,0.11706358894487467,0.002203118925223552
2022,D6_ARM_004,baseline,2,Y1,1456,1456,0.12760331341195175,0.10530380883644798,0.09519161658011724,0.11776840467825915,0.03262031129106349,0.05197246944703861,0.09519161658011724,0.16974087412529776,0.2725557456424692,0.008241758241758242
2022,D6_ARM_004,fairbias,1,all,2846,314,0.07292574332317703,0.05713367650467784,0.05937527830762114,0.04141582007099792,0.03275555917393575,0.042772506727814075,0.05937527830762114,0.084188326798812,0.11515727656126039,0.0028109627547434997
2022,D6_ARM_004,fairbias,1,Y0,2532,0,0.0685359378618728,0.05130981131263682,0.057111304761181855,0.03974241195089248,0.032128124874728395,0.04192001442204807,0.057111304761181855,0.08166242637294055,0.10710868398177698,0.002764612954186414
2022,D6_ARM_004,fairbias,1,Y1,314,314,0.10832379245700606,0.08347895211035589,0.07705925310105777,0.07032430528222097,0.041587980674764054,0.057008621616747523,0.07705925310105777,0.1273329268989685,0.22146788184925312,0.0031847133757961785
2022,D6_ARM_004,fairbias,2,all,24605,1456,0.06359082236374237,0.058891641230170926,0.045589279962151924,0.037849915496048235,0.027266610845969874,0.03240210811547411,0.045589279962151924,0.07025202361152234,0.11230626740923079,0.002072749441170494
2022,D6_ARM_004,fairbias,2,Y0,23149,0,0.06054926092259142,0.05522713265813255,0.04446970225460325,0.03509073443880753,0.02701144266609119,0.03211137674060319,0.04446970225460325,0.06720211117941072,0.1018820876292104,0.0021167221046265497
2022,D6_ARM_004,fairbias,2,Y1,1456,1456,0.11194872469973367,0.0873866082858267,0.07701431959742625,0.10552649240727036,0.03412277842186354,0.047901502035480575,0.07701431959742625,0.15342799444275093,0.2471569685054681,0.0013736263736263737
2023,D6_ARM_001,baseline,1,all,13351,770,0.06572410200024911,0.0749451371307877,0.041984601449369004,0.0486958946385272,0.01629638385673351,0.02526779026555575,0.041984601449369004,0.07396368490408295,0.13963018707595756,0.004344243876863156
2023,D6_ARM_001,baseline,1,Y0,12581,0,0.060945208321273106,0.06923484775276478,0.040190420534787503,0.04396383759885624,0.015917034344328475,0.024604748420716617,0.040190420534787503,0.06856858601957286,0.12505625720421662,0.003576822192194579
2023,D6_ARM_001,baseline,1,Y1,770,770,0.14380625963037524,0.11231267726606206,0.10931599107918463,0.12741190065085295,0.03986578687253729,0.06479916196860804,0.10931599107918463,0.19221106261946097,0.28364235129787685,0.016883116883116882
2023,D6_ARM_001,baseline,2,all,15926,1159,0.06395618013566566,0.07028247022683412,0.04132636564375837,0.05094014070274865,0.015377611951020349,0.02414728497013826,0.04132636564375837,0.07508742567288691,0.13591570434921463,0.003327891498179078
2023,D6_ARM_001,baseline,2,Y0,14767,0,0.05870856155909737,0.06253179037951222,0.03926882418694948,0.04617265595857957,0.014916618808439506,0.02314053360129635,0.03926882418694948,0.06931318955987592,0.12299499953980175,0.0023024310963635133
2023,D6_ARM_001,baseline,2,Y1,1159,1159,0.1308169079356518,0.11508564264542548,0.09371607064739745,0.11718892454198421,0.03352566837619334,0.05170634584307513,0.09371607064739745,0.16889527038505933,0.2911361119279267,0.01639344262295082
2023,D6_ARM_001,fairbias,1,all,13351,770,0.06166596027673827,0.0439638074471774,0.04840792360056678,0.043159194810621554,0.02423674752101414,0.032742565964791706,0.04840792360056678,0.07590176077541326,0.11542520744072277,7.490075649764063e-05
2023,D6_ARM_001,fairbias,1,Y0,12581,0,0.05954225167080155,0.041493712042109325,0.04711582538495546,0.041334127304344506,0.023970961863523602,0.032222313852069,0.04711582538495546,0.07355644115641351,0.1097985134265357,0.0
2023,D6_ARM_001,fairbias,1,Y1,770,770,0.09636515244724454,0.06410238788700118,0.0775143197754151,0.06777923876407836,0.03704942352058518,0.05188632936557469,0.0775143197754151,0.11966556812965305,0.18130758273570982,0.0012987012987012987
2023,D6_ARM_001,fairbias,2,all,15926,1159,0.06845875282396743,0.04905985808187879,0.05349562900006233,0.04884529799459604,0.026461071140645415,0.03577069579300321,0.05349562900006233,0.08461599378759925,0.13049076792263734,0.0
2023,D6_ARM_001,fairbias,2,Y0,14767,0,0.06596181737344661,0.046782825405685326,0.05178482842063162,0.04618977967797656,0.026193971204684644,0.034822457295524155,0.05178482842063162,0.08101223697350071,0.12457161998785261,0.0
2023,D6_ARM_001,fairbias,2,Y1,1159,1159,0.10027259734324348,0.06402539457420105,0.08390416328435178,0.07372036574383192,0.03781290039755343,0.05514355398843666,0.08390416328435178,0.12886391973226857,0.188960700778992,0.0
2023,D6_ARM_002,baseline,1,all,4380,411,0.09552752840841357,0.09399880801981521,0.06396097764698394,0.08105514684083827,0.023902315333474297,0.036780595275450495,0.06396097764698394,0.11783574211628876,0.20995971102185548,0.007990867579908675
2023,D6_ARM_002,baseline,1,Y0,3969,0,0.08695844293951568,0.0856708291906406,0.05922966476410072,0.07062035438794165,0.02305913184518453,0.0352256950042692,0.05922966476410072,0.10584604939221084,0.18453890298549236,0.0062988158226253465
2023,D6_ARM_002,baseline,1,Y1,411,411,0.17827862384893844,0.12555145891837444,0.14619512871878607,0.16115752899257205,0.04922569165928144,0.08101643145961604,0.14619512871878607,0.2421739604521881,0.3617576323043534,0.024330900243309004
2023,D6_ARM_002,baseline,2,all,19370,1151,0.056370943299005105,0.06375036013989276,0.0366749029526532,0.04221445974411764,0.014368426928667747,0.022037379600085952,0.0366749029526532,0.06425183934420359,0.1168530694979243,0.0021683014971605576
2023,D6_ARM_002,baseline,2,Y0,18219,0,0.05210659200830298,0.05748447933736491,0.03516328274311992,0.03848900169584106,0.01408339887859337,0.0214221655201078,0.03516328274311992,0.05991116721594886,0.1052977504998339,0.0016466326362588506
2023,D6_ARM_002,baseline,2,Y1,1151,1151,0.12387069670065767,0.10608222241356577,0.09213220116411042,0.10716898505755262,0.03186524861469529,0.05346961732926736,0.09213220116411042,0.16063860238681998,0.26085424076782987,0.010425716768027803
2023,D6_ARM_002,baseline,3,all,3166,238,0.07335840496931027,0.07548817469306784,0.05045750707633717,0.05550008203258053,0.020302615984960852,0.030870030870944087,0.05045750707633717,0.08637011290352462,0.14766562853479412,0.0066329753632343655
2023,D6_ARM_002,baseline,3,Y0,2928,0,0.06931216024819647,0.07089453410260917,0.04836041587280637,0.051563412671980245,0.019836160574032296,0.03015284396812159,0.04836041587280637,0.08171625664010183,0.13959261411237664,0.00546448087431694
2023,D6_ARM_002,baseline,3,Y1,238,238,0.12313741565595396,0.10647291767873555,0.08962479943807651,0.09744720445301194,0.03559847446569636,0.05278961396137324,0.08962479943807651,0.1502368184143852,0.2542173028736573,0.02100840336134454
2023,D6_ARM_002,baseline,4,all,1645,56,0.05352160551231009,0.05543624517175814,0.03934424585859606,0.03393112258224082,0.017900999544212523,0.02646630203269144,0.03934424585859606,0.060397424614932256,0.095748526127834,0.00303951367781155
2023,D6_ARM_002,baseline,4,Y0,1589,0,0.051893597204812354,0.05345772011610529,0.03881298963959421,0.03303156383998588,0.01772331895818959,0.026097924875141162,0.03881298963959421,0.05912948871512704,0.09309975739583899,0.0031466331025802393
2023,D6_ARM_002,baseline,4,Y1,56,56,0.09971634123755797,0.08426351858838131,0.07184300272999508,0.07468966688178977,0.03135024708663562,0.04944495065068849,0.07184300272999508,0.12413461753247826,0.2063373870548918,0.0
2023,D6_ARM_002,baseline,5,all,193,9,0.10370082287068108,0.09848756759224535,0.06726211215971495,0.09437288360654023,0.024867202320399705,0.0383512326883399,0.06726211215971495,0.13272411629488012,0.21546625903541478,0.0051813471502590676
2023,D6_ARM_002,baseline,5,Y0,184,0,0.09466099738369393,0.08481370293969312,0.06635807541102813,0.08342495420020901,0.023434114251251272,0.0375342829446897,0.06635807541102813,0.12095923714489872,0.19315927837478677,0.0
2023,D6_ARM_002,baseline,5,Y1,9,9,0.2885150328268624,0.1671576026014157,0.20527215330688595,0.24346288024841478,0.1448123959309641,0.16400846792665097,0.20527215330688595,0.40747134817506575,0.4945698916133897,0.1111111111111111
2023,D6_ARM_002,baseline,6,all,216,34,0.0943501480696294,0.09117087091406323,0.06610278627981443,0.08862309522324313,0.02363064249885318,0.03406942874354762,0.06610278627981443,0.12269252396679076,0.20519004334294533,0.013888888888888888
2023,D6_ARM_002,baseline,6,Y0,182,0,0.08932739091148434,0.08511335972250776,0.062162483865053395,0.08439230715315774,0.023329579861814588,0.03157135395702836,0.062162483865053395,0.11596366111018609,0.2033821162591435,0.01098901098901099
2023,D6_ARM_002,baseline,6,Y1,34,34,0.1212366716808765,0.11634880215259881,0.10363800083309806,0.09475761586453345,0.03297831853388964,0.04765734640976889,0.10363800083309806,0.14241496227430234,0.20679551112152383,0.029411764705882353
2023,D6_ARM_002,baseline,7,all,313,32,0.08305691668504528,0.08322825735294385,0.055538349563970364,0.06173795331395056,0.023199773467984335,0.034955670437472275,0.055538349563970364,0.09669362375142283,0.1689820683445481,0.006389776357827476
2023,D6_ARM_002,baseline,7,Y0,281,0,0.07550470370758147,0.07180948859881305,0.05195829855909905,0.05675941811040262,0.023067938982028153,0.032639126975128656,0.05195829855909905,0.08939854508553127,0.15111115501426114,0.0
2023,D6_ARM_002,baseline,7,Y1,32,32,0.1493747868933993,0.13447537330943585,0.11156297447806186,0.09928521170553578,0.04406576487257129,0.06518181670611259,0.11156297447806186,0.16446702841164837,0.2650579792108568,0.0625
2023,D6_ARM_002,fairbias,1,all,4380,411,0.08516093863305678,0.06343918911342587,0.06751229587520977,0.06591740327317792,0.02779775098410197,0.042804940356459195,0.06751229587520977,0.10872234362963712,0.16519352998571205,0.0006849315068493151
2023,D6_ARM_002,fairbias,1,Y0,3969,0,0.0802501583951282,0.059361991330240095,0.06468203025155166,0.06154950445083206,0.027135137374214337,0.04101480856196274,0.06468203025155166,0.1025643130127948,0.15487051757192408,0.0005039052658100278
2023,D6_ARM_002,fairbias,1,Y1,411,411,0.132584020784732,0.07995068038467626,0.1117093511763286,0.08921636236044196,0.05334436858590343,0.07570348103999826,0.1117093511763286,0.16491984340044022,0.2483007285485708,0.0024330900243309003
2023,D6_ARM_002,fairbias,2,all,19370,1151,0.058678346195508935,0.05873042914076635,0.04183565065443663,0.04611084972026179,0.008922849602474007,0.025700825542114777,0.04183565065443663,0.07181167526237657,0.12353055189144432,0.0009292720702116675
2023,D6_ARM_002,fairbias,2,Y0,18219,0,0.05492195149312418,0.053983582039891745,0.04018912331180055,0.04265172846383358,0.008352704052460268,0.024624575180482583,0.04018912331180055,0.06727630364431617,0.11388497927660998,0.0006037652999615786
2023,D6_ARM_002,fairbias,2,Y1,1151,1151,0.11813773375654103,0.09036662003369599,0.0913449753750208,0.09694972467692389,0.03684288768502497,0.05665910807317658,0.0913449753750208,0.15360883275010048,0.2295330845356966,0.006081668114682885
2023,D6_ARM_002,fairbias,3,all,3166,238,0.07643575344611059,0.06296821252888438,0.05935481988824948,0.05932063126498366,0.02103983678125495,0.03627738957218099,0.05935481988824948,0.09559802083716465,0.15125612101089772,0.0
2023,D6_ARM_002,fairbias,3,Y0,2928,0,0.07352491219783042,0.06048824899361211,0.05717341042274903,0.056964204296752655,0.019819980647581302,0.03512120117622046,0.05717341042274903,0.09208540547297311,0.1448570665447203,0.0
